x = 0.48666486254097463	y = -0.5473398228470325	t = 0.00015473365783691406
x = 0.4867850599226414	y = -0.546866142948205	t = 0.016694307327270508
x = 0.487074041861111	y = -0.5456790815360644	t = 0.03141427040100098
x = 0.4872451250566919	y = -0.5449662872679242	t = 0.045951128005981445
x = 0.48763893440768125	y = -0.5433018174139752	t = 0.05929994583129883
x = 0.4880273548618413	y = -0.5416360817655539	t = 0.07440543174743652
x = 0.48845893258976025	y = -0.5397295504706183	t = 0.08899950981140137
x = 0.4888781608736318	y = -0.5378202656412105	t = 0.10493993759155273
x = 0.48938673746828426	y = -0.5354303176762558	t = 0.11833667755126953
x = 0.4898798339952865	y = -0.5330371279130156	t = 0.1351625919342041
x = 0.4902195780891494	y = -0.531360786763274	t = 0.14833974838256836
x = 0.4906894159821389	y = -0.528962922342142	t = 0.16229820251464844
x = 0.4911806044481972	y = -0.5263203779965401	t = 0.178755521774292
x = 0.49161158061392846	y = -0.5239152249925939	t = 0.19307279586791992
x = 0.49197842449200363	y = -0.5217469234163244	t = 0.20794010162353516
x = 0.49240103792379825	y = -0.5190925487979015	t = 0.22212553024291992
x = 0.4927696048426748	y = -0.516677044739919	t = 0.2371964454650879
x = 0.4930942776217671	y = -0.5145020289369764	t = 0.25077295303344727
x = 0.4934652713541581	y = -0.5118399488521201	t = 0.2650134563446045
x = 0.4937617610727663	y = -0.5096609123670439	t = 0.28069496154785156
x = 0.49409826275441826	y = -0.5069942527813625	t = 0.29543638229370117
x = 0.4943884756158785	y = -0.5045680875102273	t = 0.30933189392089844
x = 0.49468178361104576	y = -0.5018963320671463	t = 0.32499265670776367
x = 0.4949491378047438	y = -0.49922185483546655	t = 0.3399679660797119
x = 0.4952343993926479	y = -0.4960581903084534	t = 0.35924553871154785
x = 0.4954788100054159	y = -0.4931362413854867	t = 0.3744237422943115
x = 0.49567683750224223	y = -0.4904557392239203	t = 0.3902566432952881
x = 0.4958549954619826	y = -0.48752900353420703	t = 0.4068944454193115
x = 0.49598767075227373	y = -0.48508914724844643	t = 0.4208106994628906
x = 0.49610754936879015	y = -0.4824040148783455	t = 0.43663692474365234
x = 0.4962013524820011	y = -0.4797178451697058	t = 0.45011281967163086
x = 0.4962690712494435	y = -0.4770308913375386	t = 0.46647167205810547
x = 0.49632397180073207	y = -0.4740992522080535	t = 0.48201918601989746
x = 0.49634820368734006	y = -0.47141155439331817	t = 0.49678802490234375
x = 0.4963386012026647	y = -0.4689681123088587	t = 0.5102548599243164
x = 0.49631318325388857	y = -0.4665247835639495	t = 0.5246307849884033
x = 0.49626986033412607	y = -0.4633485797704819	t = 0.5394628047943115
x = 0.49622986994665297	y = -0.46041669934574253	t = 0.5539216995239258
x = 0.4962019102029992	y = -0.45772903772634244	t = 0.567371129989624
x = 0.4962106089374265	y = -0.454308203452288	t = 0.5841267108917236
x = 0.49624353907222873	y = -0.45162059813641975	t = 0.5978579521179199
x = 0.49631329287145426	y = -0.4484448648635348	t = 0.6121993064880371
x = 0.4963966540133745	y = -0.44551389693875676	t = 0.626605749130249
x = 0.4965177857106562	y = -0.44233970814082296	t = 0.6413228511810303
x = 0.49661158882386713	y = -0.43965353843218324	t = 0.6567544937133789
x = 0.49671391949282456	y = -0.43672317147730355	t = 0.67012619972229
x = 0.496816250161782	y = -0.4337928045224239	t = 0.6867914199829102
x = 0.49690135935415514	y = -0.43110634530013237	t = 0.7001359462738037
x = 0.4969629218700119	y = -0.42866365999816225	t = 0.7142508029937744
x = 0.49701782242130044	y = -0.4257320208686771	t = 0.7293272018432617
x = 0.49704775890748426	y = -0.42328874330879684	t = 0.7441654205322266
x = 0.497057078980085	y = -0.4196235637294528	t = 0.7635171413421631
x = 0.49704747649540965	y = -0.41718012164499335	t = 0.7774286270141602
x = 0.4970247130944532	y = -0.4140037039708529	t = 0.7944717407226562
x = 0.4970072027860251	y = -0.4115603057599756	t = 0.807976484298706
x = 0.49698619041591147	y = -0.4086282279069229	t = 0.8213150501251221
x = 0.4969756276827686	y = -0.4059404416140175	t = 0.8372616767883301
x = 0.49698308374084915	y = -0.40300829795054227	t = 0.850935697555542
x = 0.4970220011728881	y = -0.39983203712269794	t = 0.8662111759185791
x = 0.4970769017241766	y = -0.3969003979932128	t = 0.8792991638183594
x = 0.49714665552340215	y = -0.39372466472032785	t = 0.8967158794403076
x = 0.49722668679401594	y = -0.39054917382776666	t = 0.911959171295166
x = 0.4973447817450696	y = -0.3863969692676644	t = 0.9290132522583008
x = 0.4973984385137046	y = -0.3839540975192914	t = 0.9480125904083252
x = 0.4974579141109338	y = -0.3807781551290158	t = 0.963005781173706
x = 0.49749383789435436	y = -0.3778462220571595	t = 0.9813439846038818
x = 0.49751806978096236	y = -0.3751585242424242	t = 0.9962835311889648
x = 0.49752428316269615	y = -0.3727150711895282	t = 1.0095508098602295
