x = -0.4555400549728896	y = 0.522291216683269	t = 0.00037217140197753906
x = -0.45576067713262797	y = 0.5221861887017091	t = 0.014861345291137695
x = -0.45620055257982617	y = 0.5219732810971831	t = 0.029747724533081055
x = -0.4570775288713828	y = 0.5215417804453891	t = 0.044309377670288086
x = -0.45817199787706697	y = 0.5209988596845487	t = 0.05855202674865723
x = -0.45948111617615495	y = 0.5203388674171637	t = 0.07384276390075684
x = -0.4610059208868689	y = 0.5195639375533593	t = 0.08885407447814941
x = -0.46317700214559127	y = 0.5184428186498329	t = 0.1067814826965332
x = -0.4649080254362769	y = 0.5175347001108148	t = 0.12297272682189941
x = -0.4670644117499908	y = 0.5163855702252723	t = 0.13752484321594238
x = -0.46878353428560976	y = 0.5154551194628288	t = 0.15312457084655762
x = -0.47070729305526393	y = 0.514389634431159	t = 0.16682863235473633
x = -0.4728448027993241	y = 0.5132057621737481	t = 0.1830132007598877
x = -0.47518330910536705	y = 0.5118807357648569	t = 0.1979994773864746
x = -0.4766687127887212	y = 0.5110327253892663	t = 0.21152472496032715
x = -0.47898987051239617	y = 0.5096775377456222	t = 0.22666525840759277
x = -0.4808854011627833	y = 0.5085626073845786	t = 0.24152040481567383
x = -0.48340310027460526	y = 0.5070597057782215	t = 0.25826478004455566
x = -0.4852803418952487	y = 0.5059142495135576	t = 0.27190160751342773
x = -0.4875702053847008	y = 0.5045068292041489	t = 0.28798651695251465
x = -0.4898555019541255	y = 0.5030920054280421	t = 0.3052096366882324
x = -0.49212695433757314	y = 0.5016550604752371	t = 0.32150864601135254
x = -0.4943843484138587	y = 0.5001961298010745	t = 0.33797788619995117
x = -0.49622743437558237	y = 0.4989964880652922	t = 0.3527040481567383
x = -0.4984657532583205	y = 0.4975084573845468	t = 0.36886167526245117
x = -0.5006992446062696	y = 0.49601319047650055	t = 0.3836784362792969
x = -0.502918113190524	y = 0.4944963091583118	t = 0.3998396396636963
x = -0.5047295250105992	y = 0.4932493555205907	t = 0.4140281677246094
x = -0.5069285714509797	y = 0.49170387776898394	t = 0.42987060546875
x = -0.5087236895167434	y = 0.4904335796596795	t = 0.4439258575439453
x = -0.5107090875212137	y = 0.48900925659532046	t = 0.45909643173217773
x = -0.512491787699104	y = 0.48772158962273643	t = 0.4728121757507324
x = -0.5150486193814803	y = 0.485836713191505	t = 0.4896073341369629
x = -0.5173974605048365	y = 0.4840815871466607	t = 0.5074789524078369
x = -0.518955748182725	y = 0.48290139206670774	t = 0.5228729248046875
x = -0.5212816721633683	y = 0.48111600704035384	t = 0.5388827323913574
x = -0.5232102713274603	y = 0.4796156715138522	t = 0.5529720783233643
x = -0.5255128883793003	y = 0.47780032670676015	t = 0.5708498954772949
x = -0.52742190390905	y = 0.47627515093492456	t = 0.5865874290466309
x = -0.5293210074447158	y = 0.4747376506296755	t = 0.6019728183746338
x = -0.5312101194209399	y = 0.47318789020654356	t = 0.6156573295593262
x = -0.5330891606909735	y = 0.4716259345947127	t = 0.6316440105438232
x = -0.5349580525299928	y = 0.4700518492342997	t = 0.6458396911621094
x = -0.5366354614910044	y = 0.4686297362521312	t = 0.6613800525665283
x = -0.5386799920102494	y = 0.46688497217537556	t = 0.6760406494140625
x = -0.5407074863131234	y = 0.4651204400619032	t = 0.6925678253173828
x = -0.5423616642322097	y = 0.4636713708542595	t = 0.7065374851226807
x = -0.5438236765684417	y = 0.4623738189892037	t = 0.7211542129516602
x = -0.5461926102235986	y = 0.46025761938839094	t = 0.735903263092041
x = -0.5478183396890859	y = 0.4587767041775905	t = 0.7518541812896729
x = -0.5494392678562126	y = 0.457290535266077	t = 0.7654054164886475
x = -0.5515876341063509	y = 0.4552950291870768	t = 0.782426118850708
x = -0.5535391172431018	y = 0.45344678128848787	t = 0.7975029945373535
x = -0.5549496475008491	y = 0.45209344271082746	t = 0.8116154670715332
x = -0.5567128103230331	y = 0.45040176948875194	t = 0.8258583545684814
x = -0.5586341311802387	y = 0.44852218631918267	t = 0.842017650604248
x = -0.5603696899374407	y = 0.44680220456691927	t = 0.8567769527435303
x = -0.5619266747964891	y = 0.4452491738829893	t = 0.8732008934020996
x = -0.5643329635965368	y = 0.44281772225704835	t = 0.8912835121154785
x = -0.5663683450735785	y = 0.440707095738932	t = 0.9098670482635498
x = -0.5677252660582729	y = 0.4393000113935211	t = 0.9231460094451904
x = -0.5695721601427333	y = 0.43734724695087906	t = 0.9404239654541016
x = -0.5712396289962991	y = 0.43556117610956074	t = 0.9538133144378662
x = -0.5727351407633451	y = 0.43394886388447507	t = 0.9686555862426758
x = -0.5745566013099284	y = 0.4319723547888972	t = 0.9826529026031494
x = -0.5760311161791718	y = 0.4303408180725117	t = 0.9987688064575195
x = -0.577657697884454	y = 0.4285174329283743	t = 1.0128424167633057
x = -0.5794404371331267	y = 0.426505929137947	t = 1.0268280506134033
x = -0.5807274786203546	y = 0.42503465583772077	t = 1.043447732925415
x = -0.5824774360132192	y = 0.42299456862124696	t = 1.0569636821746826
x = -0.5840683063703689	y = 0.42113994387899806	t = 1.0723190307617188
x = -0.585798374149326	y = 0.4190829625451314	t = 1.0895166397094727
x = -0.5872084299818499	y = 0.4173954055221839	t = 1.1029751300811768
x = -0.5889251472979896	y = 0.41532726907017514	t = 1.1186161041259766
x = -0.590313239339748	y = 0.41362160009873283	t = 1.1327028274536133
x = -0.5920030405204353	y = 0.41153141381578834	t = 1.1475248336791992
x = -0.5935268920074697	y = 0.4096213410231225	t = 1.162421703338623
x = -0.5947360569985407	y = 0.4080854240533052	t = 1.1760084629058838
x = -0.5963918153176314	y = 0.40596816849092654	t = 1.1925053596496582
x = -0.5978845601139737	y = 0.40403368809536483	t = 1.2065236568450928
x = -0.5992110634885931	y = 0.40227969409490266	t = 1.221226692199707
x = -0.6008253988733805	y = 0.40013068781452915	t = 1.2355172634124756
x = -0.6021405213849291	y = 0.39836814449984104	t = 1.2510912418365479
x = -0.6034384694413893	y = 0.39659291578238937	t = 1.2651233673095703
x = -0.6050178200693614	y = 0.394418069047195	t = 1.2799770832061768
x = -0.6071425846329944	y = 0.39143159892986196	t = 1.3018929958343506
x = -0.6084116375076216	y = 0.38963560033355565	t = 1.3160159587860107
x = -0.609663193282446	y = 0.38782736519977534	t = 1.331322193145752
x = -0.6113162938094249	y = 0.385405634268445	t = 1.3466930389404297
x = -0.6125502345050393	y = 0.3835853330526457	t = 1.3612735271453857
x = -0.6139081595993835	y = 0.3815539441519253	t = 1.3757362365722656
x = -0.6153801118501273	y = 0.37930501923117055	t = 1.393517255783081
x = -0.6168447780469727	y = 0.3770513423112284	t = 1.4074606895446777
x = -0.6178993585141462	y = 0.3754054440907844	t = 1.4216530323028564
x = -0.6190797627554209	y = 0.37354997865491274	t = 1.4355180263519287
x = -0.6206375889482809	y = 0.37106588936326096	t = 1.4519593715667725
x = -0.6216653988128882	y = 0.369403142300109	t = 1.4657323360443115
x = -0.6229366811536046	y = 0.36731643613056764	t = 1.4810271263122559
x = -0.6244459800600245	y = 0.3648025668286468	t = 1.4975311756134033
x = -0.6254413105733464	y = 0.3631201762428865	t = 1.5115954875946045
x = -0.626802396217179	y = 0.36080247207759397	t = 1.525925636291504
x = -0.6279098687791209	y = 0.3589025745327038	t = 1.5408687591552734
x = -0.6290111867764594	y = 0.3569991027505982	t = 1.5553696155548096
x = -0.6303345910932813	y = 0.3546596780901574	t = 1.5710344314575195
x = -0.6314111761255516	y = 0.3527421091018743	t = 1.5853919982910156
x = -0.6327041854029839	y = 0.3503857488288821	t = 1.601109266281128
x = -0.6337558570524795	y = 0.34845440398702165	t = 1.6151258945465088
x = -0.6350182546037192	y = 0.3460815029881838	t = 1.6298439502716064
x = -0.6360448366278009	y = 0.34413670595394963	t = 1.6443567276000977
x = -0.6372764108960601	y = 0.3417476618879217	t = 1.6598632335662842
x = -0.638277731256692	y = 0.33978973857688066	t = 1.6738636493682861
x = -0.639595899705338	y = 0.3371705871881568	t = 1.6899726390838623
x = -0.641522128830307	y = 0.3332165935128639	t = 1.717038631439209
x = -0.6430003699792759	y = 0.3301316322644815	t = 1.7385213375091553
x = -0.6446440066304672	y = 0.326584387951768	t = 1.761164903640747
x = -0.6461525558005728	y = 0.3232440425184382	t = 1.7824864387512207
x = -0.6470511942132483	y = 0.32123691642379487	t = 1.7982525825500488
x = -0.6483210182411739	y = 0.3183252683765341	t = 1.8157446384429932
x = -0.6491935988534103	y = 0.31630667747402735	t = 1.8311150074005127
x = -0.6501485950777273	y = 0.31405757017570657	t = 1.8448615074157715
x = -0.651175021259805	y = 0.3115734695295155	t = 1.8609566688537598
x = -0.6520082423615583	y = 0.3095383162792351	t = 1.8747992515563965
x = -0.6530024255395419	y = 0.3070411365627797	t = 1.8911488056182861
x = -0.6540693333856417	y = 0.3043099775223738	t = 1.9080262184143066
x = -0.6550392246771509	y = 0.3018032630172265	t = 1.9243659973144531
x = -0.6559847326542194	y = 0.2992872500218384	t = 1.9409644603729248
x = -0.6567516637967323	y = 0.29722620107065423	t = 1.95524263381958
x = -0.6576645224405674	y = 0.2946981591754244	t = 1.9707586765289307
x = -0.6584047087803914	y = 0.2926273549019906	t = 1.9851291179656982
x = -0.6592847651110999	y = 0.2900877077646029	t = 1.9994511604309082
x = -0.6599980826053418	y = 0.28800749520119934	t = 2.0149247646331787
x = -0.6608451891401517	y = 0.28545666842418294	t = 2.0297091007232666
x = -0.6614612666200134	y = 0.2836015216772619	t = 2.0432558059692383
x = -0.6622835673431567	y = 0.2810425906019143	t = 2.0591700077056885
x = -0.6629495794342277	y = 0.2789467532868822	t = 2.073082447052002
x = -0.6638013466405908	y = 0.2761410422037119	t = 2.0889413356781006
x = -0.6647738669538886	y = 0.27286134907191595	t = 2.109064817428589
x = -0.6653922318382754	y = 0.2707509626081869	t = 2.123915433883667
x = -0.6660641118764306	y = 0.2684016906694475	t = 2.1386094093322754
x = -0.666661957949524	y = 0.2662853999924798	t = 2.1532974243164062
x = -0.6673109973236147	y = 0.26392971552322264	t = 2.168983221054077
x = -0.6679447754649178	y = 0.2615698793646248	t = 2.1832501888275146
x = -0.668686963891607	y = 0.2587332125891031	t = 2.198981523513794
x = -0.6692901405490124	y = 0.25636536982663327	t = 2.214262008666992
x = -0.6698779782373957	y = 0.253993672485079	t = 2.2308363914489746
x = -0.6704504523285494	y = 0.25161821992971667	t = 2.2443573474884033
x = -0.6710075388379433	y = 0.2492391116831523	t = 2.259704113006592
x = -0.6715492144257297	y = 0.24685644742115145	t = 2.273794412612915
x = -0.6720297798443735	y = 0.244710483061024	t = 2.2889838218688965
x = -0.6726086460135637	y = 0.24208575056306755	t = 2.304706335067749
x = -0.6731620014661162	y = 0.23945552158619268	t = 2.319735288619995
x = -0.6735520517789826	y = 0.23754006298125305	t = 2.33316707611084
x = -0.6740798443521813	y = 0.23490458546715093	t = 2.3484833240509033
x = -0.6745441378650271	y = 0.23250564133238066	t = 2.3627796173095703
x = -0.6749410201957081	y = 0.23034263634576435	t = 2.376856803894043
x = -0.6753309001710774	y = 0.2281783582302395	t = 2.3919410705566406
x = -0.6758320509540263	y = 0.22528934975866838	t = 2.4079065322875977
x = -0.6762008996552064	y = 0.22312138832170236	t = 2.4231746196746826
x = -0.6766259673471262	y = 0.22046740561924416	t = 2.437008857727051
x = -0.676966720605911	y = 0.21829485104612947	t = 2.451935291290283
x = -0.6773297026378233	y = 0.2158785014289738	t = 2.466439723968506
x = -0.677649346582086	y = 0.2137027408940275	t = 2.4807543754577637
x = -0.6779888512545011	y = 0.21128298098750212	t = 2.495027780532837
x = -0.6783996451563346	y = 0.20813315626488163	t = 2.514899253845215
x = -0.6786999508709362	y = 0.2057082195841419	t = 2.53072190284729
x = -0.6789845544093469	y = 0.20328138991279215	t = 2.544278621673584
x = -0.6792336275533164	y = 0.2010964256738429	t = 2.5583808422088623
x = -0.6794756280478699	y = 0.19891066678568312	t = 2.5732641220092773
x = -0.6797454551565053	y = 0.19623643791381984	t = 2.588589668273926
x = -0.6799591404472215	y = 0.19404772944692317	t = 2.603255271911621
x = -0.6802251590648172	y = 0.19112766846277354	t = 2.6186330318450928
x = -0.6803899006441825	y = 0.1891798540142614	t = 2.6325581073760986
x = -0.6806180964115959	y = 0.1862565940621199	t = 2.6474788188934326
x = -0.6807821467854757	y = 0.18406360668610428	t = 2.6616098880767822
x = -0.6809248977920438	y = 0.18186912991323617	t = 2.6768431663513184
x = -0.6810677242681339	y = 0.1794298468165975	t = 2.6918723583221436
x = -0.681216148713609	y = 0.17674614099970043	t = 2.705893039703369
x = -0.6813162626248479	y = 0.1745493061489868	t = 2.7215425968170166
x = -0.6814092662491273	y = 0.17235215879789612	t = 2.7352511882781982
x = -0.6815142458041389	y = 0.1696664026621513	t = 2.750891923904419
x = -0.6815787992841791	y = 0.1674682354699776	t = 2.7638096809387207
x = -0.6816362383515464	y = 0.1652698708709919	t = 2.778959035873413
x = -0.6816842478089663	y = 0.16282688161194514	t = 2.793937921524048
x = -0.681728360886172	y = 0.16013943658663188	t = 2.808305501937866
x = -0.6817431034519276	y = 0.15794037114574827	t = 2.8232579231262207
x = -0.6817524235158955	y = 0.15525258025654776	t = 2.838010311126709
x = -0.6817465490484038	y = 0.15329782032130346	t = 2.851736307144165
x = -0.6817233904018972	y = 0.15085446911754427	t = 2.8666884899139404
x = -0.6816954309072696	y = 0.14865553200539355	t = 2.8810911178588867
x = -0.6816525603450432	y = 0.1459680668721209	t = 2.896430492401123
x = -0.681558522558627	y = 0.1423040820048869	t = 2.9188461303710938
x = -0.6814642154546577	y = 0.13986244165504821	t = 2.933711528778076
x = -0.6813699083506884	y = 0.13742080130520948	t = 2.9483349323272705
x = -0.6812637007395499	y = 0.1352242526260608	t = 2.961796998977661
x = -0.6811298974230693	y = 0.13278445794201083	t = 2.97682523727417
x = -0.6810023686061524	y = 0.13058904395886564	t = 2.9918649196624756
x = -0.6808448837179017	y = 0.12815066336146244	t = 3.0059828758239746
x = -0.6806716192248935	y = 0.1257133531958737	t = 3.021362543106079
x = -0.6805085827718267	y = 0.12352029020737906	t = 3.0352044105529785
x = -0.6802833013810832	y = 0.12084194089807564	t = 3.050778388977051
x = -0.680091889110394	y = 0.11865117219755902	t = 3.0637125968933105
x = -0.679863457502125	y = 0.1162184123598103	t = 3.07983136177063
x = -0.6796192841567854	y = 0.11378718205289876	t = 3.093816041946411
x = -0.679392447779824	y = 0.11159979744688617	t = 3.1079654693603516
x = -0.6791246812160239	y = 0.10917105240157364	t = 3.1238327026367188
x = -0.6788214931984403	y = 0.10650040009293155	t = 3.138587236404419
x = -0.678552227112396	y = 0.10431783235482117	t = 3.1524546146392822
x = -0.678275898847458	y = 0.10213614749065537	t = 3.1666388511657715
x = -0.6779295362869051	y = 0.09947075076515487	t = 3.1826398372650146
x = -0.6775573118110984	y = 0.09680884248963675	t = 3.1985549926757812
x = -0.6772457175443416	y = 0.09463191456950298	t = 3.2124671936035156
x = -0.6768390655173813	y = 0.09197504783279399	t = 3.229097604751587
x = -0.6764993167514165	y = 0.08980233594840634	t = 3.2430992126464844
x = -0.6761062001302964	y = 0.08739070563884006	t = 3.2568540573120117
x = -0.6757453725966501	y = 0.0852213947695785	t = 3.2714717388153076
x = -0.6753288600728931	y = 0.0828136948826796	t = 3.28659725189209
x = -0.6747239367113849	y = 0.07944675999687803	t = 3.3064494132995605
x = -0.6743140610908485	y = 0.07728617948872196	t = 3.321014404296875
x = -0.6738045583189047	y = 0.07464710509548421	t = 3.3375437259674072
x = -0.6733258546524281	y = 0.0722509948669009	t = 3.3524813652038574
x = -0.6728316517135046	y = 0.06985803333712688	t = 3.3657732009887695
x = -0.6723219702073946	y = 0.06746832076232863	t = 3.381540536880493
x = -0.6718562986671074	y = 0.06531907527306959	t = 3.3957648277282715
x = -0.6713234395509188	y = 0.06293442381213984	t = 3.4111781120300293
x = -0.6706654998488883	y = 0.06007704084786078	t = 3.430617332458496
x = -0.6699890789494742	y = 0.057223976386111645	t = 3.4454402923583984
x = -0.6695258297779517	y = 0.05532489210180827	t = 3.460477352142334
x = -0.6689314151925069	y = 0.0529548345648632	t = 3.4735543727874756
x = -0.6683216723897755	y = 0.05058867414292713	t = 3.489834785461426
x = -0.6678338781475903	y = 0.04869574580537834	t = 3.5029945373535156
x = -0.6672088326735225	y = 0.04633358163175137	t = 3.516589879989624
x = -0.6665685107151933	y = 0.043975512672305754	t = 3.533301591873169
x = -0.6658557655169134	y = 0.0413839299493369	t = 3.5479631423950195
x = -0.665192579332712	y = 0.0390321889957232	t = 3.562391757965088
x = -0.6644379926492768	y = 0.03645247861181497	t = 3.579874277114868
x = -0.6638137758694193	y = 0.03434381563061624	t = 3.5940277576446533
x = -0.6631050509310287	y = 0.03200539514030172	t = 3.609015464782715
x = -0.6624603906398332	y = 0.029902892045062707	t = 3.622591257095337
x = -0.6616475602663409	y = 0.027340937027582918	t = 3.639508008956909
