x = -0.5156027475074518	y = -0.4534568743242526	t = 7.939338684082031e-05
x = -0.5155273478610869	y = -0.45368929615542647	t = 0.014075756072998047
x = -0.5153765485683569	y = -0.45415413981777425	t = 0.02911853790283203
x = -0.5150749499828969	y = -0.45508382714246987	t = 0.04208827018737793
x = -0.514773351397437	y = -0.4560135144671655	t = 0.05651044845581055
x = -0.5145448970362905	y = -0.45671004424641176	t = 0.07123160362243652
x = -0.5141603847190483	y = -0.45786968886216434	t = 0.08526062965393066
x = -0.5137721213805603	y = -0.4590280829820307	t = 0.10004544258117676
x = -0.5132233069703228	y = -0.4606480670692202	t = 0.1190798282623291
x = -0.5121943488021309	y = -0.4636532945982313	t = 0.15066123008728027
x = -0.5109734788226182	y = -0.4671091743278687	t = 0.1811528205871582
x = -0.5099967828390082	y = -0.4698738781115786	t = 0.21225357055664062
x = -0.5086004616827506	y = -0.4737860432863873	t = 0.2439136505126953
x = -0.507672425062261	y = -0.4763085529015705	t = 0.2693207263946533
x = -0.5069064469047353	y = -0.47836995621454137	t = 0.2853682041168213
x = -0.5058673736314374	y = -0.4811118257936385	t = 0.3054780960083008
x = -0.5047129248693932	y = -0.4840711154835522	t = 0.3314034938812256
x = -0.5040024948619813	y = -0.4858922168311914	t = 0.34526658058166504
x = -0.5032802922957939	y = -0.4877086816305191	t = 0.3609447479248047
x = -0.5024612050748201	y = -0.4897495643515423	t = 0.3760695457458496
x = -0.5017214005572469	y = -0.4915589316966613	t = 0.39075398445129395
x = -0.5007820249193212	y = -0.49381460783447256	t = 0.4049692153930664
x = -0.4999300210976234	y = -0.4958419695792892	t = 0.420487642288208
x = -0.49926225170683985	y = -0.4974166535921515	t = 0.4344959259033203
x = -0.4983971432305974	y = -0.4994384581031929	t = 0.44858288764953613
x = -0.49761654155418206	y = -0.5012306026109216	t = 0.4623136520385742
x = -0.4966263098837881	y = -0.5034644205683139	t = 0.47890710830688477
x = -0.4957285995395448	y = -0.505471961923896	t = 0.49212646484375
x = -0.4948243967571166	y = -0.5074765874462275	t = 0.5083980560302734
x = -0.4938053310029207	y = -0.5096973995536432	t = 0.5238711833953857
x = -0.49267645844585817	y = -0.5121366522009868	t = 0.5427236557006836
